model,features,n_feats,f1_macro,accuracy
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard_person,3,0.4222402597402597,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person,4,0.42083333333333334,0.5263157894736842
random_forest,dice_sim + ner_jaccard_org,2,0.42083333333333334,0.5263157894736842
random_forest,jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.42063492063492064,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,6,0.4201680672268907,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,7,0.4201680672268907,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + ner_jaccard_org,3,0.4201680672268907,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.4201680672268907,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.4201680672268907,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.4198412698412698,0.5263157894736842
gradient_boosting,tfidf_cos + ner_jaccard + semantic_sim,3,0.4173076923076923,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.4166666666666667,0.5263157894736842
gradient_boosting,tfidf_cos + ner_jaccard,2,0.4163059163059163,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + semantic_sim,3,0.4159090909090909,0.5263157894736842
naive_bayes,tfidf_cos + semantic_sim,2,0.4159090909090909,0.5263157894736842
random_forest,dice_sim + ner_jaccard_person,2,0.41587301587301584,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard_org + semantic_sim,3,0.41428571428571426,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.41388888888888886,0.5263157894736842
svm,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4133771929824561,0.5263157894736842
svm,dice_sim + ner_jaccard_org,2,0.4112394957983193,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.4111111111111111,0.5263157894736842
random_forest,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.4075757575757576,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.40694444444444444,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + semantic_sim,5,0.40694444444444444,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,4,0.40694444444444444,0.5263157894736842
naive_bayes,dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.40694444444444444,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard + semantic_sim,4,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_org + semantic_sim,4,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_person + semantic_sim,4,0.40694444444444444,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.40694444444444444,0.5263157894736842
random_forest,dice_sim + semantic_sim,2,0.40694444444444444,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.40625,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard + semantic_sim,4,0.40555555555555556,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.40476190476190477,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,5,0.40476190476190477,0.5263157894736842
logistic_regression,jaccard_sim + ner_jaccard + ner_jaccard_org,3,0.40476190476190477,0.5263157894736842
random_forest,jaccard_sim + dice_sim + ner_jaccard_person,3,0.40476190476190477,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.40476190476190477,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + semantic_sim,4,0.40476190476190477,0.5263157894736842
random_forest,dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.40476190476190477,0.5263157894736842
naive_bayes,dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.40476190476190477,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,6,0.40476190476190477,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard_person + semantic_sim,4,0.4042950513538749,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim,2,0.4042950513538749,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + semantic_sim,5,0.4037698412698413,0.47368421052631576
gradient_boosting,tfidf_cos + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.4035714285714286,0.47368421052631576
gradient_boosting,jaccard_sim + ner_jaccard,2,0.40341880341880343,0.47368421052631576
gradient_boosting,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.40341880341880343,0.47368421052631576
gradient_boosting,jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.40341880341880343,0.47368421052631576
gradient_boosting,ner_jaccard_org + semantic_sim,2,0.4027777777777778,0.47368421052631576
gradient_boosting,dice_sim + semantic_sim,2,0.4017857142857143,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,5,0.40128968253968256,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_person,3,0.40128968253968256,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard_person,3,0.40128968253968256,0.5263157894736842
random_forest,tfidf_cos + dice_sim + semantic_sim,3,0.40128968253968256,0.5263157894736842
logistic_regression,dice_sim + ner_jaccard_org,2,0.40119047619047615,0.5263157894736842
logistic_regression,jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,4,0.40119047619047615,0.5263157894736842
logistic_regression,jaccard_sim + dice_sim + ner_jaccard_org,3,0.40119047619047615,0.5263157894736842
random_forest,jaccard_sim + dice_sim,2,0.4,0.5263157894736842
naive_bayes,ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.3998015873015873,0.5263157894736842
naive_bayes,dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.3993055555555556,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard_org,3,0.3993055555555556,0.5263157894736842
naive_bayes,tfidf_cos + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.39642857142857146,0.5263157894736842
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,5,0.39583333333333337,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim,2,0.39583333333333337,0.5263157894736842
random_forest,jaccard_sim + dice_sim + ner_jaccard_org,3,0.39583333333333337,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard_org,3,0.39583333333333337,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.39583333333333337,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard,3,0.3953216374269006,0.5263157894736842
svm,dice_sim + ner_jaccard + ner_jaccard_person,3,0.39299242424242425,0.5263157894736842
naive_bayes,tfidf_cos + ner_jaccard_person + semantic_sim,3,0.39299242424242425,0.5263157894736842
random_forest,jaccard_sim + ner_jaccard_person + ner_jaccard_org,3,0.39285714285714285,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.3923611111111111,0.5263157894736842
random_forest,tfidf_cos + dice_sim,2,0.3923611111111111,0.5263157894736842
naive_bayes,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.3923611111111111,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.3923611111111111,0.5263157894736842
naive_bayes,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.39087301587301587,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person,4,0.39017857142857143,0.5263157894736842
random_forest,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.39017857142857143,0.5263157894736842
gradient_boosting,tfidf_cos + ner_jaccard_person,2,0.39017857142857143,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.39017857142857143,0.5263157894736842
svm,ner_jaccard + semantic_sim,2,0.3895676691729323,0.5263157894736842
svm,jaccard_sim + ner_jaccard + semantic_sim,3,0.3895676691729323,0.5263157894736842
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.38928571428571423,0.47368421052631576
logistic_regression,tfidf_cos + ner_jaccard + ner_jaccard_org,3,0.38928571428571423,0.5263157894736842
logistic_regression,tfidf_cos + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.38928571428571423,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + ner_jaccard_person,3,0.38888888888888884,0.5263157894736842
gradient_boosting,jaccard_sim + dice_sim + semantic_sim,3,0.3880952380952381,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,5,0.38789682539682535,0.47368421052631576
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard_org + semantic_sim,4,0.38789682539682535,0.47368421052631576
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.38789682539682535,0.47368421052631576
gradient_boosting,tfidf_cos + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.38789682539682535,0.47368421052631576
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,6,0.38789682539682535,0.47368421052631576
random_forest,tfidf_cos + dice_sim + ner_jaccard + semantic_sim,4,0.3867424242424242,0.5263157894736842
svm,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org,4,0.386437908496732,0.5263157894736842
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + semantic_sim,4,0.3857142857142857,0.47368421052631576
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.3857142857142857,0.47368421052631576
gradient_boosting,tfidf_cos + ner_jaccard_person + ner_jaccard_org,3,0.38541666666666663,0.5263157894736842
logistic_regression,dice_sim + semantic_sim,2,0.3833333333333333,0.5263157894736842
naive_bayes,jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.38257575757575757,0.47368421052631576
svm,dice_sim + semantic_sim,2,0.38125,0.5263157894736842
svm,tfidf_cos + jaccard_sim + dice_sim + semantic_sim,4,0.38125,0.5263157894736842
svm,tfidf_cos + dice_sim + semantic_sim,3,0.38125,0.5263157894736842
naive_bayes,tfidf_cos + ner_jaccard + semantic_sim,3,0.38108766233766234,0.5263157894736842
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.38095238095238093,0.47368421052631576
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.38095238095238093,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard_org + semantic_sim,4,0.3805916305916306,0.47368421052631576
naive_bayes,tfidf_cos,1,0.3801247771836007,0.5263157894736842
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,5,0.37949346405228757,0.5263157894736842
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,6,0.37949346405228757,0.5263157894736842
svm,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.37949346405228757,0.5263157894736842
svm,jaccard_sim + dice_sim + semantic_sim,3,0.37949346405228757,0.5263157894736842
svm,tfidf_cos + dice_sim + ner_jaccard_org + semantic_sim,4,0.37949346405228757,0.5263157894736842
random_forest,ner_jaccard + ner_jaccard_org + semantic_sim,3,0.37949346405228757,0.5263157894736842
random_forest,ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.3773109243697479,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.3773109243697479,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard_person + semantic_sim,4,0.3773109243697479,0.5263157894736842
svm,tfidf_cos + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.3773109243697479,0.5263157894736842
logistic_regression,tfidf_cos + dice_sim + ner_jaccard_person,3,0.3773109243697479,0.5263157894736842
svm,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.3773109243697479,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person,4,0.3773109243697479,0.5263157894736842
naive_bayes,dice_sim + semantic_sim,2,0.3767857142857143,0.47368421052631576
naive_bayes,dice_sim + ner_jaccard_org + semantic_sim,3,0.3767857142857143,0.47368421052631576
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard_person + semantic_sim,4,0.3767857142857143,0.47368421052631576
naive_bayes,jaccard_sim + dice_sim + semantic_sim,3,0.3767857142857143,0.47368421052631576
gradient_boosting,tfidf_cos + dice_sim + semantic_sim,3,0.3767857142857143,0.47368421052631576
gradient_boosting,tfidf_cos + ner_jaccard + ner_jaccard_person,3,0.3753968253968254,0.47368421052631576
random_forest,dice_sim,1,0.3696969696969697,0.5263157894736842
gradient_boosting,ner_jaccard + ner_jaccard_person + ner_jaccard_org,3,0.3680555555555556,0.47368421052631576
random_forest,ner_jaccard + ner_jaccard_org,2,0.3673796791443851,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person,4,0.3672619047619048,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,5,0.3672619047619048,0.47368421052631576
random_forest,jaccard_sim + dice_sim + ner_jaccard,3,0.3666666666666667,0.47368421052631576
svm,ner_jaccard,1,0.3666666666666667,0.5263157894736842
naive_bayes,ner_jaccard + ner_jaccard_org + semantic_sim,3,0.3653846153846154,0.47368421052631576
naive_bayes,ner_jaccard,1,0.36507936507936506,0.47368421052631576
gradient_boosting,jaccard_sim + ner_jaccard + semantic_sim,3,0.36507936507936506,0.42105263157894735
gradient_boosting,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.3630952380952381,0.42105263157894735
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.36160714285714285,0.47368421052631576
naive_bayes,tfidf_cos + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.3611111111111111,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + dice_sim,3,0.35833333333333334,0.47368421052631576
gradient_boosting,jaccard_sim + ner_jaccard + ner_jaccard_person,3,0.3548076923076923,0.42105263157894735
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.3547619047619048,0.47368421052631576
svm,jaccard_sim + dice_sim + ner_jaccard_org,3,0.3517156862745098,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org,4,0.35138888888888886,0.47368421052631576
random_forest,dice_sim + ner_jaccard_person + semantic_sim,3,0.35138888888888886,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,6,0.35138888888888886,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.3492063492063492,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,5,0.3492063492063492,0.47368421052631576
svm,tfidf_cos + ner_jaccard,2,0.3475378787878788,0.47368421052631576
logistic_regression,ner_jaccard,1,0.34659090909090906,0.5263157894736842
logistic_regression,jaccard_sim + ner_jaccard,2,0.34659090909090906,0.5263157894736842
logistic_regression,jaccard_sim + ner_jaccard + semantic_sim,3,0.34659090909090906,0.5263157894736842
logistic_regression,ner_jaccard + semantic_sim,2,0.34659090909090906,0.5263157894736842
gradient_boosting,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.34571678321678323,0.42105263157894735
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard_person,3,0.34477124183006536,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,5,0.34444444444444444,0.47368421052631576
random_forest,dice_sim + ner_jaccard_org + semantic_sim,3,0.34375,0.47368421052631576
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.34375,0.47368421052631576
svm,tfidf_cos + jaccard_sim + dice_sim,3,0.34375,0.47368421052631576
gradient_boosting,jaccard_sim + ner_jaccard_person + ner_jaccard_org,3,0.34090909090909094,0.42105263157894735
gradient_boosting,jaccard_sim + ner_jaccard_org,2,0.34090909090909094,0.42105263157894735
random_forest,tfidf_cos + jaccard_sim + ner_jaccard_person + semantic_sim,4,0.3402777777777778,0.47368421052631576
naive_bayes,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.3398109243697479,0.47368421052631576
svm,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.33976608187134505,0.47368421052631576
svm,ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.33976608187134505,0.47368421052631576
svm,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.3392156862745098,0.47368421052631576
svm,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.3392156862745098,0.47368421052631576
svm,tfidf_cos,1,0.3392156862745098,0.47368421052631576
svm,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.3392156862745098,0.47368421052631576
naive_bayes,tfidf_cos + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.3392156862745098,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.3392156862745098,0.47368421052631576
svm,tfidf_cos + jaccard_sim,2,0.3392156862745098,0.47368421052631576
logistic_regression,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.33897243107769426,0.47368421052631576
logistic_regression,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.33897243107769426,0.47368421052631576
logistic_regression,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.33897243107769426,0.47368421052631576
logistic_regression,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.33897243107769426,0.47368421052631576
gradient_boosting,tfidf_cos + jaccard_sim + ner_jaccard_person,3,0.33878968253968256,0.42105263157894735
svm,ner_jaccard_person + ner_jaccard_org + semantic_sim,3,0.3380952380952381,0.47368421052631576
svm,jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.3380952380952381,0.47368421052631576
logistic_regression,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.3373015873015873,0.47368421052631576
logistic_regression,tfidf_cos + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.3373015873015873,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard_person + ner_jaccard_org,4,0.3373015873015873,0.47368421052631576
random_forest,tfidf_cos + jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.3373015873015873,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.3373015873015873,0.47368421052631576
logistic_regression,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.3373015873015873,0.47368421052631576
logistic_regression,tfidf_cos + ner_jaccard_person + ner_jaccard_org,3,0.3373015873015873,0.47368421052631576
svm,tfidf_cos + dice_sim,2,0.3368055555555556,0.47368421052631576
svm,tfidf_cos + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.33467023172905525,0.47368421052631576
svm,tfidf_cos + ner_jaccard + ner_jaccard_org,3,0.33467023172905525,0.47368421052631576
svm,ner_jaccard + ner_jaccard_org + semantic_sim,3,0.33421052631578946,0.5263157894736842
svm,jaccard_sim + ner_jaccard + ner_jaccard_org,3,0.33421052631578946,0.5263157894736842
svm,jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,4,0.33421052631578946,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + ner_jaccard_person + ner_jaccard_org,4,0.33333333333333337,0.47368421052631576
random_forest,tfidf_cos + ner_jaccard_person + ner_jaccard_org,3,0.33333333333333337,0.47368421052631576
gradient_boosting,tfidf_cos + jaccard_sim + ner_jaccard_org,3,0.33333333333333337,0.47368421052631576
svm,tfidf_cos + jaccard_sim + ner_jaccard_org,3,0.33333333333333337,0.47368421052631576
naive_bayes,ner_jaccard + ner_jaccard_person + semantic_sim,3,0.33333333333333337,0.47368421052631576
naive_bayes,jaccard_sim + ner_jaccard_org + semantic_sim,3,0.3333333333333333,0.42105263157894735
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,5,0.33286647992530344,0.47368421052631576
